Country,Brand,Model,status,reason
Germany,Honda,Prelude,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Jaecoo,5,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Jaecoo,7,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Kia,EV2,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Kia,EV4,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Kia,EV5,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Kia,K4,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Kia,PV5,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Kia,Seltos,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Leapmotor,B05,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Leapmotor,B10,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Lucid,Gravity,UNSEEN_SERIES,해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,MG,IM5,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,MG,MGS6 EV,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,MG,MGS9,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Mercedes-Benz,VLE,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Mitsubishi,Grandis,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Omoda,5,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Omoda,9,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Subaru,Uncharted,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Togg,T10F,UNSEEN_SERIES,해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Togg,T10X,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Toyota,Urban Cruiser,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Volvo,ES90,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Xpeng,X9,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Zeekr,001,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Zeekr,7GT,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Zeekr,7X,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Zeekr,X,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Japan,Honda,Insight/e:N2 (e:NS2/e:NP2),INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Japan,Honda,Prelude,UNSEEN_SERIES,해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
